Edge: #1:Pedro :Domingos     -> #2:Daniel S. :Weld, Publications:1
Edge: #1:Pedro :Domingos     -> #3:Brigham :Anderson, Publications:1
Edge: #2:Daniel S. :Weld     -> #1:Pedro :Domingos, Publications:1
Edge: #2:Daniel S. :Weld     -> #3:Brigham :Anderson, Publications:1
Edge: #2:Daniel S. :Weld     -> #40:Jia-Yu :Pan, Publications:1
Edge: #2:Daniel S. :Weld     -> #193:Peter :Antal, Publications:1
Edge: #2:Daniel S. :Weld     -> #324:Patrick :Wendel, Publications:1
Edge: #2:Daniel S. :Weld     -> #325:Igor V. :Cadez, Publications:1
Edge: #2:Daniel S. :Weld     -> #326:Scott :Gaffney, Publications:1
Edge: #2:Daniel S. :Weld     -> #327:Matt :Cutler, Publications:1
Edge: #2:Daniel S. :Weld     -> #503:D. :Gershkovich, Publications:3
Edge: #2:Daniel S. :Weld     -> #504:Ehud :Gudes, Publications:2
Edge: #2:Daniel S. :Weld     -> #625:Kamal :Nigam, Publications:1
Edge: #2:Daniel S. :Weld     -> #778:Marcel :Holsheimer, Publications:1
Edge: #3:Brigham :Anderson     -> #1:Pedro :Domingos, Publications:1
Edge: #3:Brigham :Anderson     -> #2:Daniel S. :Weld, Publications:1
Edge: #3:Brigham :Anderson     -> #2124:Thore :Graepel, Publications:1
Edge: #3:Brigham :Anderson     -> #2125:Ralf :Herbrich, Publications:1
Edge: #4:Andrew W. :Moore     -> #5:Andrew :Connolly, Publications:1
Edge: #4:Andrew W. :Moore     -> #6:Robert :Nichol, Publications:1
Edge: #4:Andrew W. :Moore     -> #7:Brigham S. :Anderson, Publications:1
Edge: #5:Andrew :Connolly     -> #4:Andrew W. :Moore, Publications:1
Edge: #5:Andrew :Connolly     -> #6:Robert :Nichol, Publications:2
Edge: #5:Andrew :Connolly     -> #7:Brigham S. :Anderson, Publications:1
Edge: #5:Andrew :Connolly     -> #8:Paul :Anderson, Publications:1
Edge: #5:Andrew :Connolly     -> #346:Stefano :Lonardi, Publications:1
Edge: #5:Andrew :Connolly     -> #347:Juan Pedro :CaraÃ§a-Valente, Publications:1
Edge: #5:Andrew :Connolly     -> #398:Jeffery :Howard, Publications:1
Edge: #5:Andrew :Connolly     -> #954:Pieter W. :Adriaans, Publications:1
Edge: #5:Andrew :Connolly     -> #955:Eric K. Y. :Ho, Publications:1
Edge: #5:Andrew :Connolly     -> #1074:Yulan :Liang, Publications:1
Edge: #5:Andrew :Connolly     -> #1075:Arpad :Kelemen, Publications:1
Edge: #5:Andrew :Connolly     -> #1181:Andrew :McCallum, Publications:2
Edge: #5:Andrew :Connolly     -> #1182:Lyle H. :Ungar, Publications:1
Edge: #5:Andrew :Connolly     -> #1183:John E. :Moody, Publications:1
Edge: #5:Andrew :Connolly     -> #1240:Ted :Roush, Publications:1
Edge: #5:Andrew :Connolly     -> #2475:Kevin :English, Publications:1
Edge: #6:Robert :Nichol     -> #4:Andrew W. :Moore, Publications:1
Edge: #6:Robert :Nichol     -> #5:Andrew :Connolly, Publications:2
Edge: #6:Robert :Nichol     -> #7:Brigham S. :Anderson, Publications:1
Edge: #6:Robert :Nichol     -> #954:Pieter W. :Adriaans, Publications:1
Edge: #6:Robert :Nichol     -> #955:Eric K. Y. :Ho, Publications:1
Edge: #7:Brigham S. :Anderson     -> #4:Andrew W. :Moore, Publications:1
Edge: #7:Brigham S. :Anderson     -> #5:Andrew :Connolly, Publications:1
Edge: #7:Brigham S. :Anderson     -> #6:Robert :Nichol, Publications:1
Edge: #8:Paul :Anderson     -> #5:Andrew :Connolly, Publications:1
Edge: #9:Ray :Smith     -> #10:Zhongwei :Zhang, Publications:1
Edge: #9:Ray :Smith     -> #11:Mihael :Ankerst, Publications:1
Edge: #10:Zhongwei :Zhang     -> #9:Ray :Smith, Publications:1
Edge: #10:Zhongwei :Zhang     -> #11:Mihael :Ankerst, Publications:1
Edge: #11:Mihael :Ankerst     -> #9:Ray :Smith, Publications:1
Edge: #11:Mihael :Ankerst     -> #10:Zhongwei :Zhang, Publications:1
Edge: #12:Christian :Elsen     -> #13:Martin :Ester, Publications:1
Edge: #12:Christian :Elsen     -> #14:Hans-Peter :Kriegel, Publications:2
Edge: #12:Christian :Elsen     -> #15:SÃ©bastien :Augier, Publications:2
Edge: #13:Martin :Ester     -> #12:Christian :Elsen, Publications:1
Edge: #13:Martin :Ester     -> #14:Hans-Peter :Kriegel, Publications:1
Edge: #13:Martin :Ester     -> #15:SÃ©bastien :Augier, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #12:Christian :Elsen, Publications:2
Edge: #14:Hans-Peter :Kriegel     -> #13:Martin :Ester, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #15:SÃ©bastien :Augier, Publications:7
Edge: #14:Hans-Peter :Kriegel     -> #124:Srinivasan :Parthasarathy, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #125:Florian :Beil, Publications:4
Edge: #14:Hans-Peter :Kriegel     -> #392:Steve A. :Chien, Publications:2
Edge: #14:Hans-Peter :Kriegel     -> #550:Osmar R. :ZaÃ¯ane, Publications:2
Edge: #14:Hans-Peter :Kriegel     -> #551:Mohammad :El-Ramly, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #552:Eleni :Stroulia, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #567:Obi L. :Griffith, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #568:Steven J. M. :Jones, Publications:3
Edge: #14:Hans-Peter :Kriegel     -> #573:Wei-Ying :Ma, Publications:3
Edge: #14:Hans-Peter :Kriegel     -> #574:Robert :Engels, Publications:2
Edge: #14:Hans-Peter :Kriegel     -> #575:Jochen :Garcke, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #576:Michael :Griebel, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #991:Kunal :Punera, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1345:Ricardo :Vilalta, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1346:Anand :Sivasubramaniam, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1347:Filip :Radlinski, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1348:Mark :Sandler, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1407:Bing :Leng, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1719:Jian Zhang :0003, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1803:Yanfang :Ye, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1804:Dingding :Wang, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #1889:Vikas :Krishna, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #2307:Christoph :Lingenfelder, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #2308:Michael R. :Berthold, Publications:1
Edge: #14:Hans-Peter :Kriegel     -> #2392:Chad L. :Myers, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #12:Christian :Elsen, Publications:2
Edge: #15:SÃ©bastien :Augier     -> #13:Martin :Ester, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #14:Hans-Peter :Kriegel, Publications:7
Edge: #15:SÃ©bastien :Augier     -> #39:Christos :Faloutsos, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #73:Elke :Achtert, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #74:Peer :KrÃ¶ger, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #75:Arthur :Zimek, Publications:2
Edge: #15:SÃ©bastien :Augier     -> #125:Florian :Beil, Publications:3
Edge: #15:SÃ©bastien :Augier     -> #567:Obi L. :Griffith, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #568:Steven J. M. :Jones, Publications:3
Edge: #15:SÃ©bastien :Augier     -> #576:Michael :Griebel, Publications:2
Edge: #15:SÃ©bastien :Augier     -> #951:David :Freed, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #1477:Pat :Hanrahan, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #1716:Michael Yu :Zhu, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #1717:Lei :Liu, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #1718:Yiming :Yang, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #2329:Yan :Li, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #2330:Jing :Wang, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #2331:Gordon V. :Cormack, Publications:1
Edge: #15:SÃ©bastien :Augier     -> #2332:Wei :Jin, Publications:1
Edge: #16:Gilles :Venturini     -> #17:Yves :Kodratoff, Publications:1
Edge: #16:Gilles :Venturini     -> #18:Bavani :Arunasalam, Publications:1
Edge: #17:Yves :Kodratoff     -> #16:Gilles :Venturini, Publications:1
Edge: #17:Yves :Kodratoff     -> #18:Bavani :Arunasalam, Publications:1
Edge: #18:Bavani :Arunasalam     -> #16:Gilles :Venturini, Publications:1
Edge: #18:Bavani :Arunasalam     -> #17:Yves :Kodratoff, Publications:1
Edge: #19:Sanjay :Chawla     -> #20:Yonatan :Aumann, Publications:1
Edge: #20:Yonatan :Aumann     -> #19:Sanjay :Chawla, Publications:1
Edge: #21:Yehuda :Lindell     -> #22:Necip Fazil :Ayan, Publications:1
Edge: #21:Yehuda :Lindell     -> #649:David :Haussler, Publications:1
Edge: #21:Yehuda :Lindell     -> #650:Paul E. :Stolorz, Publications:1
Edge: #21:Yehuda :Lindell     -> #651:James :Goodnight, Publications:1
Edge: #21:Yehuda :Lindell     -> #652:Gregory :Piatetsky-Shapiro, Publications:1
Edge: #22:Necip Fazil :Ayan     -> #21:Yehuda :Lindell, Publications:1
Edge: #23:Abdullah Uz :Tansel     -> #24:M. Erol :Arkun, Publications:1
Edge: #23:Abdullah Uz :Tansel     -> #25:Jay :Ayres, Publications:1
Edge: #24:M. Erol :Arkun     -> #23:Abdullah Uz :Tansel, Publications:1
Edge: #24:M. Erol :Arkun     -> #25:Jay :Ayres, Publications:1
Edge: #25:Jay :Ayres     -> #23:Abdullah Uz :Tansel, Publications:1
Edge: #25:Jay :Ayres     -> #24:M. Erol :Arkun, Publications:1
Edge: #26:Jason :Flannick     -> #27:Johannes :Gehrke, Publications:1
Edge: #26:Jason :Flannick     -> #28:Tomi :Yiu, Publications:1
Edge: #26:Jason :Flannick     -> #29:Mikhail :Bilenko, Publications:1
Edge: #27:Johannes :Gehrke     -> #26:Jason :Flannick, Publications:1
Edge: #27:Johannes :Gehrke     -> #28:Tomi :Yiu, Publications:1
Edge: #27:Johannes :Gehrke     -> #29:Mikhail :Bilenko, Publications:1
Edge: #28:Tomi :Yiu     -> #26:Jason :Flannick, Publications:1
Edge: #28:Tomi :Yiu     -> #27:Johannes :Gehrke, Publications:1
Edge: #28:Tomi :Yiu     -> #29:Mikhail :Bilenko, Publications:1
Edge: #28:Tomi :Yiu     -> #114:Roberto J. Bayardo :Jr., Publications:1
Edge: #28:Tomi :Yiu     -> #131:Joel L. :Wolf, Publications:1
Edge: #28:Tomi :Yiu     -> #132:Kun-Lung :Wu, Publications:1
Edge: #28:Tomi :Yiu     -> #134:Reba :Schuller, Publications:1
Edge: #28:Tomi :Yiu     -> #150:Carla E. :Brodley, Publications:1
Edge: #28:Tomi :Yiu     -> #277:Peter :Scheuermann, Publications:1
Edge: #28:Tomi :Yiu     -> #282:Ron :Kohavi, Publications:1
Edge: #28:Tomi :Yiu     -> #288:Rich :Caruana, Publications:1
Edge: #28:Tomi :Yiu     -> #289:Alexandru :Niculescu-Mizil, Publications:1
Edge: #28:Tomi :Yiu     -> #485:Chun Hung :Cheng, Publications:1
Edge: #28:Tomi :Yiu     -> #521:Steve :Donoho, Publications:1
Edge: #28:Tomi :Yiu     -> #548:Gehad :Galal, Publications:1
Edge: #28:Tomi :Yiu     -> #591:Zengjian :Hu, Publications:1
Edge: #28:Tomi :Yiu     -> #2433:Hongbo :Deng, Publications:1
Edge: #29:Mikhail :Bilenko     -> #26:Jason :Flannick, Publications:1
Edge: #29:Mikhail :Bilenko     -> #27:Johannes :Gehrke, Publications:1
Edge: #29:Mikhail :Bilenko     -> #28:Tomi :Yiu, Publications:1
Edge: #30:Raymond J. :Mooney     -> #31:Ella :Bingham, Publications:2
Edge: #30:Raymond J. :Mooney     -> #70:Sugato :Basu, Publications:1
Edge: #30:Raymond J. :Mooney     -> #504:Ehud :Gudes, Publications:1
Edge: #30:Raymond J. :Mooney     -> #2342:Liang :Ding, Publications:1
Edge: #31:Ella :Bingham     -> #30:Raymond J. :Mooney, Publications:2
Edge: #31:Ella :Bingham     -> #61:Arindam :Banerjee, Publications:1
Edge: #31:Ella :Bingham     -> #63:Joydeep :Ghosh, Publications:2
Edge: #31:Ella :Bingham     -> #69:Chase :Krumpelman, Publications:1
Edge: #31:Ella :Bingham     -> #70:Sugato :Basu, Publications:3
Edge: #31:Ella :Bingham     -> #102:Sunny :Aggarwal, Publications:1
Edge: #32:Heikki :Mannila     -> #33:Lars :Backstrom, Publications:2
Edge: #32:Heikki :Mannila     -> #38:Christian :BÃ¶hm, Publications:1
Edge: #33:Lars :Backstrom     -> #32:Heikki :Mannila, Publications:2
Edge: #33:Lars :Backstrom     -> #38:Christian :BÃ¶hm, Publications:3
Edge: #33:Lars :Backstrom     -> #89:James P. :Rogers, Publications:1
